10.11. netqlty 0.43, netp 0.4621, randp 0.4897, sxs 1
10.12. netqlty 0.38, netp 0.4639, randp 0.4914, sxs 1
10.13. netqlty 0.43, netp 0.4623, randp 0.4897, sxs 0
10.14. netqlty 0.40, netp 0.4608, randp 0.4881, sxs 0
10.15. netqlty 0.43, netp 0.4592, randp 0.4898, sxs 0
10.16. netqlty 0.38, netp 0.4610, randp 0.4915, sxs 1
10.17. netqlty 0.42, netp 0.4628, randp 0.4899, sxs 1
10.18. netqlty 0.43, netp 0.4646, randp 0.4882, sxs 1
10.19. netqlty 0.43, netp 0.4664, randp 0.4866, sxs 1
10.20. netqlty 0.42, netp 0.4682, randp 0.4849, sxs 1
10.21. netqlty 0.32, netp 0.4667, randp 0.4867, sxs 0
10.22. netqlty 0.36, netp 0.4651, randp 0.4884, sxs 0
10.23. netqlty 0.38, netp 0.4669, randp 0.4901, sxs 1
10.24. netqlty 0.42, netp 0.4686, randp 0.4917, sxs 1
10.25. netqlty 0.43, netp 0.4704, randp 0.4901, sxs 1
10.26. netqlty 0.42, netp 0.4689, randp 0.4918, sxs 0
10.27. netqlty 0.42, netp 0.4706, randp 0.4935, sxs 1
10.28. netqlty 0.43, netp 0.4723, randp 0.4919, sxs 1
10.29. netqlty 0.38, netp 0.4740, randp 0.4903, sxs 1
10.30. netqlty 0.43, netp 0.4725, randp 0.4919, sxs 0
10.31. netqlty 0.42, netp 0.4742, randp 0.4935, sxs 1
sxss 22, ones 9, zeros 22
11.1. netqlty 0.42, netp 0.4759, randp 0.4952, sxs 1
11.2. netqlty 0.40, netp 0.4744, randp 0.4968, sxs 0
11.3. netqlty 0.36, netp 0.4760, randp 0.4952, sxs 1
11.4. netqlty 0.43, netp 0.4777, randp 0.4968, sxs 1
11.5. netqlty 0.43, netp 0.4762, randp 0.4952, sxs 0
11.6. netqlty 0.38, netp 0.4747, randp 0.4968, sxs 0
11.7. netqlty 0.43, netp 0.4732, randp 0.4984, sxs 0
11.8. netqlty 0.42, netp 0.4748, randp 0.5000, sxs 1
11.9. netqlty 0.42, netp 0.4765, randp 0.4984, sxs 1
11.10. netqlty 0.42, netp 0.4750, randp 0.5000, sxs 0
11.11. netqlty 0.42, netp 0.4766, randp 0.4984, sxs 1
11.12. netqlty 0.40, netp 0.4783, randp 0.4969, sxs 1
11.13. netqlty 0.38, netp 0.4799, randp 0.4954, sxs 1
11.14. netqlty 0.42, netp 0.4784, randp 0.4938, sxs 0
11.15. netqlty 0.49, netp 0.4769, randp 0.4923, sxs 0
11.16. netqlty 0.45, netp 0.4785, randp 0.4908, sxs 1
11.17. netqlty 0.40, netp 0.4801, randp 0.4924, sxs 1
11.18. netqlty 0.43, netp 0.4787, randp 0.4939, sxs 0
11.19. netqlty 0.38, netp 0.4772, randp 0.4924, sxs 0
11.20. netqlty 0.40, netp 0.4788, randp 0.4939, sxs 1
11.21. netqlty 0.42, netp 0.4773, randp 0.4924, sxs 0
11.22. netqlty 0.36, netp 0.4789, randp 0.4910, sxs 1
