15.13. act 1, pred -1, sxs 0, qlty 8
15.14. act 1, pred -1, sxs 0, qlty 6
15.15. act 1, pred 1, sxs 1, qlty 6
15.16. act 1, pred -1, sxs 0, qlty 4
15.17. act 1, pred -1, sxs 0, qlty 10
15.18. act 1, pred -1, sxs 0, qlty 6
15.19. act 1, pred 1, sxs 1, qlty 8
15.20. act 1, pred 1, sxs 1, qlty 6
15.21. act 1, pred -1, sxs 0, qlty 8
15.22. act 1, pred 1, sxs 1, qlty 8
15.23. act 1, pred -1, sxs 0, qlty 8
15.24. act 1, pred -1, sxs 0, qlty 6
15.25. act 1, pred 1, sxs 1, qlty 8
15.26. act 1, pred 1, sxs 1, qlty 6
15.27. act 1, pred -1, sxs 0, qlty 8
15.28. act 1, pred 1, sxs 1, qlty 6
15.29. act 1, pred -1, sxs 0, qlty 8
15.30. act 1, pred 1, sxs 1, qlty 6
15.31. act 1, pred 1, sxs 1, qlty 8
16.1. act -1, pred -1, sxs 1, qlty 6
16.2. act -1, pred -1, sxs 1, qlty 8
16.3. act -1, pred -1, sxs 1, qlty 8
16.4. act -1, pred -1, sxs 1, qlty 6
16.5. act -1, pred -1, sxs 1, qlty 6
16.6. act -1, pred -1, sxs 1, qlty 8
16.7. act -1, pred 1, sxs 0, qlty 10
16.8. act -1, pred -1, sxs 1, qlty 6
16.9. act -1, pred -1, sxs 1, qlty 6
16.10. act -1, pred -1, sxs 1, qlty 10
16.11. act -1, pred -1, sxs 1, qlty 10
16.12. act -1, pred -1, sxs 1, qlty 8
16.13. act -1, pred -1, sxs 1, qlty 10
16.14. act -1, pred -1, sxs 1, qlty 6
16.15. act -1, pred -1, sxs 1, qlty 10
16.16. act -1, pred -1, sxs 1, qlty 6
16.17. act -1, pred -1, sxs 1, qlty 10
16.18. act -1, pred -1, sxs 1, qlty 8
16.19. act -1, pred -1, sxs 1, qlty 6
16.20. act -1, pred -1, sxs 1, qlty 6
16.21. act -1, pred -1, sxs 1, qlty 6
16.22. act -1, pred -1, sxs 1, qlty 8
16.23. act -1, pred -1, sxs 1, qlty 6
16.24. act -1, pred -1, sxs 1, qlty 6
16.25. act -1, pred -1, sxs 1, qlty 8
16.26. act -1, pred -1, sxs 1, qlty 10
16.27. act -1, pred 1, sxs 0, qlty 6
16.28. act -1, pred -1, sxs 1, qlty 8
16.29. act -1, pred 1, sxs 0, qlty 10
16.30. act -1, pred 1, sxs 0, qlty 6
16.31. act -1, pred -1, sxs 1, qlty 6
17.1. act 1, pred 1, sxs 1, qlty 6
17.2. act 1, pred 1, sxs 1, qlty 6
17.3. act 1, pred 1, sxs 1, qlty 10
17.4. act 1, pred 1, sxs 1, qlty 6
17.5. act 1, pred 1, sxs 1, qlty 6
17.6. act 1, pred 1, sxs 1, qlty 8
17.7. act 1, pred -1, sxs 0, qlty 10
17.8. act 1, pred 1, sxs 1, qlty 4
17.9. act 1, pred 1, sxs 1, qlty 6
17.10. act 1, pred 1, sxs 1, qlty 6
17.11. act 1, pred 1, sxs 1, qlty 6
17.12. act 1, pred 1, sxs 1, qlty 6
17.13. act 1, pred 1, sxs 1, qlty 8
17.14. act 1, pred 1, sxs 1, qlty 10
17.15. act 1, pred 1, sxs 1, qlty 6
17.16. act 1, pred 1, sxs 1, qlty 10
17.17. act 1, pred 1, sxs 1, qlty 8
17.18. act 1, pred 1, sxs 1, qlty 8
17.19. act 1, pred 1, sxs 1, qlty 8
17.20. act 1, pred 1, sxs 1, qlty 6
17.21. act 1, pred 1, sxs 1, qlty 6
17.22. act 1, pred 1, sxs 1, qlty 8
