11.10. act 1, pred 1, sxs 1, qlty 54
11.11. act 1, pred 1, sxs 1, qlty 64
11.12. act 1, pred -1, sxs 0, qlty 60
11.13. act 1, pred -1, sxs 0, qlty 56
11.14. act 1, pred -1, sxs 0, qlty 56
11.15. act 1, pred 1, sxs 1, qlty 54
11.16. act 1, pred 1, sxs 1, qlty 66
11.17. act 1, pred 1, sxs 1, qlty 60
11.18. act 1, pred 1, sxs 1, qlty 60
11.19. act 1, pred 1, sxs 1, qlty 58
11.20. act 1, pred 1, sxs 1, qlty 60
11.21. act 1, pred -1, sxs 0, qlty 56
11.22. act 1, pred 1, sxs 1, qlty 62
11.23. act 1, pred 1, sxs 1, qlty 58
11.24. act 1, pred 1, sxs 1, qlty 58
11.25. act 1, pred -1, sxs 0, qlty 60
11.26. act 1, pred 1, sxs 1, qlty 56
11.27. act 1, pred -1, sxs 0, qlty 56
11.28. act 1, pred 1, sxs 1, qlty 62
11.29. act 1, pred -1, sxs 0, qlty 60
11.30. act 1, pred -1, sxs 0, qlty 60
11.31. act 1, pred -1, sxs 0, qlty 58
12.1. act -1, pred -1, sxs 1, qlty 64
12.2. act -1, pred -1, sxs 1, qlty 58
12.3. act -1, pred -1, sxs 1, qlty 58
12.4. act -1, pred -1, sxs 1, qlty 56
12.5. act -1, pred -1, sxs 1, qlty 58
12.6. act -1, pred -1, sxs 1, qlty 58
12.7. act -1, pred -1, sxs 1, qlty 56
12.8. act -1, pred -1, sxs 1, qlty 62
12.9. act -1, pred -1, sxs 1, qlty 54
12.10. act -1, pred -1, sxs 1, qlty 60
12.11. act -1, pred -1, sxs 1, qlty 58
12.12. act -1, pred -1, sxs 1, qlty 60
12.13. act -1, pred -1, sxs 1, qlty 60
12.14. act -1, pred -1, sxs 1, qlty 60
12.15. act -1, pred -1, sxs 1, qlty 56
12.16. act -1, pred -1, sxs 1, qlty 62
12.17. act -1, pred -1, sxs 1, qlty 54
12.18. act -1, pred -1, sxs 1, qlty 54
12.19. act -1, pred 1, sxs 0, qlty 58
12.20. act -1, pred -1, sxs 1, qlty 60
12.21. act -1, pred -1, sxs 1, qlty 58
12.22. act -1, pred -1, sxs 1, qlty 66
12.23. act -1, pred -1, sxs 1, qlty 62
12.24. act -1, pred -1, sxs 1, qlty 56
12.25. act -1, pred -1, sxs 1, qlty 58
12.26. act -1, pred -1, sxs 1, qlty 60
12.27. act -1, pred -1, sxs 1, qlty 62
12.28. act -1, pred -1, sxs 1, qlty 64
12.29. act -1, pred -1, sxs 1, qlty 58
12.30. act -1, pred -1, sxs 1, qlty 58
12.31. act -1, pred -1, sxs 1, qlty 62
13.1. act -1, pred 1, sxs 0, qlty 62
13.2. act -1, pred 1, sxs 0, qlty 62
13.3. act -1, pred 1, sxs 0, qlty 62
13.4. act -1, pred 1, sxs 0, qlty 66
13.5. act -1, pred 1, sxs 0, qlty 54
13.6. act -1, pred 1, sxs 0, qlty 64
13.7. act -1, pred 1, sxs 0, qlty 56
13.8. act -1, pred 1, sxs 0, qlty 54
13.9. act -1, pred 1, sxs 0, qlty 62
13.10. act -1, pred 1, sxs 0, qlty 58
13.11. act -1, pred 1, sxs 0, qlty 64
13.12. act -1, pred 1, sxs 0, qlty 56
13.13. act -1, pred 1, sxs 0, qlty 50
13.14. act -1, pred 1, sxs 0, qlty 58
13.15. act -1, pred 1, sxs 0, qlty 60
13.16. act -1, pred 1, sxs 0, qlty 64
13.17. act -1, pred 1, sxs 0, qlty 54
13.18. act -1, pred 1, sxs 0, qlty 62
13.19. act -1, pred 1, sxs 0, qlty 66
13.20. act -1, pred 1, sxs 0, qlty 60
13.21. act -1, pred 1, sxs 0, qlty 54
13.22. act -1, pred 1, sxs 0, qlty 58
13.23. act -1, pred 1, sxs 0, qlty 58
13.24. act -1, pred 1, sxs 0, qlty 58
13.25. act -1, pred 1, sxs 0, qlty 64
13.26. act -1, pred 1, sxs 0, qlty 60
13.27. act -1, pred 1, sxs 0, qlty 54
13.28. act -1, pred 1, sxs 0, qlty 58
13.29. act -1, pred 1, sxs 0, qlty 60
13.30. act -1, pred 1, sxs 0, qlty 56
13.31. act -1, pred 1, sxs 0, qlty 54
14.1. act 1, pred 1, sxs 1, qlty 56
14.2. act 1, pred 1, sxs 1, qlty 60
14.3. act 1, pred 1, sxs 1, qlty 62
14.4. act 1, pred 1, sxs 1, qlty 60
14.5. act 1, pred 1, sxs 1, qlty 60
14.6. act 1, pred -1, sxs 0, qlty 66
14.7. act 1, pred -1, sxs 0, qlty 62
14.8. act 1, pred 1, sxs 1, qlty 58
14.9. act 1, pred 1, sxs 1, qlty 60
14.10. act 1, pred -1, sxs 0, qlty 60
14.11. act 1, pred 1, sxs 1, qlty 60
14.12. act 1, pred 1, sxs 1, qlty 58
14.13. act 1, pred -1, sxs 0, qlty 62
14.14. act 1, pred -1, sxs 0, qlty 66
14.15. act 1, pred -1, sxs 0, qlty 60
14.16. act 1, pred 1, sxs 1, qlty 66
14.17. act 1, pred -1, sxs 0, qlty 64
14.18. act 1, pred 1, sxs 1, qlty 64
14.19. act 1, pred -1, sxs 0, qlty 62
14.20. act 1, pred 1, sxs 1, qlty 60
14.21. act 1, pred -1, sxs 0, qlty 58
14.22. act 1, pred -1, sxs 0, qlty 62
14.23. act 1, pred -1, sxs 0, qlty 60
14.24. act 1, pred -1, sxs 0, qlty 56
14.25. act 1, pred 1, sxs 1, qlty 60
14.26. act 1, pred -1, sxs 0, qlty 60
14.27. act 1, pred -1, sxs 0, qlty 62
14.28. act 1, pred -1, sxs 0, qlty 66
14.29. act 1, pred -1, sxs 0, qlty 56
14.30. act 1, pred -1, sxs 0, qlty 62
14.31. act 1, pred 1, sxs 1, qlty 62
15.1. act 1, pred -1, sxs 0, qlty 62
15.2. act 1, pred -1, sxs 0, qlty 64
15.3. act 1, pred -1, sxs 0, qlty 64
15.4. act 1, pred -1, sxs 0, qlty 60
15.5. act 1, pred -1, sxs 0, qlty 58
15.6. act 1, pred -1, sxs 0, qlty 62
15.7. act 1, pred -1, sxs 0, qlty 60
15.8. act 1, pred -1, sxs 0, qlty 66
15.9. act 1, pred -1, sxs 0, qlty 64
15.10. act 1, pred -1, sxs 0, qlty 62
15.11. act 1, pred -1, sxs 0, qlty 60
15.12. act 1, pred -1, sxs 0, qlty 64
15.13. act 1, pred -1, sxs 0, qlty 62
15.14. act 1, pred -1, sxs 0, qlty 64
15.15. act 1, pred -1, sxs 0, qlty 58
15.16. act 1, pred -1, sxs 0, qlty 66
15.17. act 1, pred -1, sxs 0, qlty 60
15.18. act 1, pred -1, sxs 0, qlty 62
15.19. act 1, pred -1, sxs 0, qlty 62
15.20. act 1, pred 1, sxs 1, qlty 62
15.21. act 1, pred -1, sxs 0, qlty 58
15.22. act 1, pred -1, sxs 0, qlty 54
15.23. act 1, pred -1, sxs 0, qlty 54
15.24. act 1, pred -1, sxs 0, qlty 58
15.25. act 1, pred -1, sxs 0, qlty 64
15.26. act 1, pred -1, sxs 0, qlty 60
15.27. act 1, pred -1, sxs 0, qlty 70
15.28. act 1, pred -1, sxs 0, qlty 62
15.29. act 1, pred -1, sxs 0, qlty 64
15.30. act 1, pred -1, sxs 0, qlty 60
15.31. act 1, pred -1, sxs 0, qlty 66
16.1. act -1, pred -1, sxs 1, qlty 66
16.2. act -1, pred -1, sxs 1, qlty 64
16.3. act -1, pred -1, sxs 1, qlty 62
16.4. act -1, pred 1, sxs 0, qlty 68
16.5. act -1, pred 1, sxs 0, qlty 68
16.6. act -1, pred 1, sxs 0, qlty 62
16.7. act -1, pred 1, sxs 0, qlty 56
16.8. act -1, pred -1, sxs 1, qlty 58
16.9. act -1, pred -1, sxs 1, qlty 66
16.10. act -1, pred 1, sxs 0, qlty 68
16.11. act -1, pred 1, sxs 0, qlty 64
16.12. act -1, pred -1, sxs 1, qlty 58
16.13. act -1, pred -1, sxs 1, qlty 62
16.14. act -1, pred 1, sxs 0, qlty 60
16.15. act -1, pred 1, sxs 0, qlty 64
16.16. act -1, pred 1, sxs 0, qlty 58
16.17. act -1, pred 1, sxs 0, qlty 66
16.18. act -1, pred -1, sxs 1, qlty 66
16.19. act -1, pred 1, sxs 0, qlty 62
16.20. act -1, pred 1, sxs 0, qlty 64
16.21. act -1, pred -1, sxs 1, qlty 64
16.22. act -1, pred 1, sxs 0, qlty 60
16.23. act -1, pred 1, sxs 0, qlty 58
16.24. act -1, pred 1, sxs 0, qlty 60
16.25. act -1, pred 1, sxs 0, qlty 60
16.26. act -1, pred 1, sxs 0, qlty 62
16.27. act -1, pred -1, sxs 1, qlty 64
16.28. act -1, pred -1, sxs 1, qlty 68
16.29. act -1, pred -1, sxs 1, qlty 68
16.30. act -1, pred 1, sxs 0, qlty 62
16.31. act -1, pred 1, sxs 0, qlty 62
17.1. act -1, pred 1, sxs 0, qlty 60
17.2. act -1, pred 1, sxs 0, qlty 60
17.3. act -1, pred -1, sxs 1, qlty 64
17.4. act -1, pred -1, sxs 1, qlty 58
17.5. act -1, pred 1, sxs 0, qlty 62
17.6. act -1, pred 1, sxs 0, qlty 64
17.7. act -1, pred -1, sxs 1, qlty 60
17.8. act -1, pred -1, sxs 1, qlty 66
17.9. act -1, pred -1, sxs 1, qlty 60
17.10. act -1, pred -1, sxs 1, qlty 60
17.11. act -1, pred 1, sxs 0, qlty 60
17.12. act -1, pred -1, sxs 1, qlty 62
17.13. act -1, pred -1, sxs 1, qlty 58
17.14. act -1, pred -1, sxs 1, qlty 62
17.15. act -1, pred 1, sxs 0, qlty 68
17.16. act -1, pred -1, sxs 1, qlty 64
17.17. act -1, pred 1, sxs 0, qlty 60
17.18. act -1, pred 1, sxs 0, qlty 66
17.19. act -1, pred 1, sxs 0, qlty 64
17.20. act -1, pred -1, sxs 1, qlty 70
17.21. act -1, pred -1, sxs 1, qlty 64
17.22. act -1, pred -1, sxs 1, qlty 62
17.23. act -1, pred 1, sxs 0, qlty 62
17.24. act -1, pred 1, sxs 0, qlty 58
17.25. act -1, pred -1, sxs 1, qlty 62
17.26. act -1, pred -1, sxs 1, qlty 60
17.27. act -1, pred -1, sxs 1, qlty 58
17.28. act -1, pred -1, sxs 1, qlty 68
17.29. act -1, pred -1, sxs 1, qlty 58
17.30. act -1, pred 1, sxs 0, qlty 64
17.31. act -1, pred -1, sxs 1, qlty 62
18.1. act 1, pred 1, sxs 1, qlty 60
18.2. act 1, pred 1, sxs 1, qlty 58
18.3. act 1, pred -1, sxs 0, qlty 68
18.4. act 1, pred 1, sxs 1, qlty 56
18.5. act 1, pred 1, sxs 1, qlty 64
18.6. act 1, pred 1, sxs 1, qlty 56
18.7. act 1, pred 1, sxs 1, qlty 62
18.8. act 1, pred 1, sxs 1, qlty 58
18.9. act 1, pred -1, sxs 0, qlty 70
18.10. act 1, pred 1, sxs 1, qlty 64
18.11. act 1, pred 1, sxs 1, qlty 66
18.12. act 1, pred 1, sxs 1, qlty 62
18.13. act 1, pred 1, sxs 1, qlty 64
18.14. act 1, pred 1, sxs 1, qlty 64
18.15. act 1, pred -1, sxs 0, qlty 64
18.16. act 1, pred 1, sxs 1, qlty 58
18.17. act 1, pred -1, sxs 0, qlty 62
18.18. act 1, pred 1, sxs 1, qlty 64
18.19. act 1, pred 1, sxs 1, qlty 54
18.20. act 1, pred -1, sxs 0, qlty 66
18.21. act 1, pred 1, sxs 1, qlty 62
18.22. act 1, pred 1, sxs 1, qlty 54
18.23. act 1, pred -1, sxs 0, qlty 56
18.24. act 1, pred 1, sxs 1, qlty 64
18.25. act 1, pred 1, sxs 1, qlty 58
18.26. act 1, pred -1, sxs 0, qlty 58
18.27. act 1, pred 1, sxs 1, qlty 56
18.28. act 1, pred 1, sxs 1, qlty 58
18.29. act 1, pred -1, sxs 0, qlty 60
18.30. act 1, pred -1, sxs 0, qlty 58
18.31. act 1, pred 1, sxs 1, qlty 66
19.1. act 1, pred -1, sxs 0, qlty 58
