14.31. act 1, pred -1, sxs 0, qlty 20
15.1. act -1, pred -1, sxs 1, qlty 26
15.2. act -1, pred -1, sxs 1, qlty 20
15.3. act -1, pred -1, sxs 1, qlty 24
15.4. act -1, pred -1, sxs 1, qlty 22
15.5. act -1, pred -1, sxs 1, qlty 20
15.6. act -1, pred 1, sxs 0, qlty 20
15.7. act -1, pred -1, sxs 1, qlty 22
15.8. act -1, pred 1, sxs 0, qlty 26
15.9. act -1, pred -1, sxs 1, qlty 22
15.10. act -1, pred 1, sxs 0, qlty 20
15.11. act -1, pred 1, sxs 0, qlty 24
15.12. act -1, pred -1, sxs 1, qlty 24
15.13. act -1, pred -1, sxs 1, qlty 20
15.14. act -1, pred -1, sxs 1, qlty 22
15.15. act -1, pred -1, sxs 1, qlty 20
15.16. act -1, pred -1, sxs 1, qlty 22
15.17. act -1, pred 1, sxs 0, qlty 20
15.18. act -1, pred -1, sxs 1, qlty 24
15.19. act -1, pred -1, sxs 1, qlty 22
15.20. act -1, pred -1, sxs 1, qlty 22
15.21. act -1, pred -1, sxs 1, qlty 22
15.22. act -1, pred -1, sxs 1, qlty 22
15.23. act -1, pred -1, sxs 1, qlty 24
15.24. act -1, pred 1, sxs 0, qlty 22
15.25. act -1, pred -1, sxs 1, qlty 20
15.26. act -1, pred 1, sxs 0, qlty 22
15.27. act -1, pred -1, sxs 1, qlty 20
15.28. act -1, pred -1, sxs 1, qlty 22
15.29. act -1, pred -1, sxs 1, qlty 20
15.30. act -1, pred -1, sxs 1, qlty 24
15.31. act -1, pred -1, sxs 1, qlty 18
16.1. act -1, pred -1, sxs 1, qlty 22
16.2. act -1, pred -1, sxs 1, qlty 22
16.3. act -1, pred -1, sxs 1, qlty 24
16.4. act -1, pred -1, sxs 1, qlty 20
16.5. act -1, pred -1, sxs 1, qlty 18
16.6. act -1, pred -1, sxs 1, qlty 20
16.7. act -1, pred -1, sxs 1, qlty 22
16.8. act -1, pred -1, sxs 1, qlty 24
16.9. act -1, pred -1, sxs 1, qlty 22
16.10. act -1, pred 1, sxs 0, qlty 24
16.11. act -1, pred -1, sxs 1, qlty 22
16.12. act -1, pred -1, sxs 1, qlty 24
16.13. act -1, pred -1, sxs 1, qlty 18
