12.19. act -1, pred -1, sxs 1, qlty 68
12.20. act -1, pred -1, sxs 1, qlty 70
12.21. act -1, pred 1, sxs 0, qlty 76
12.22. act -1, pred -1, sxs 1, qlty 72
12.23. act -1, pred 1, sxs 0, qlty 72
12.24. act -1, pred 1, sxs 0, qlty 70
12.25. act -1, pred -1, sxs 1, qlty 62
12.26. act -1, pred -1, sxs 1, qlty 72
12.27. act -1, pred 1, sxs 0, qlty 74
12.28. act -1, pred -1, sxs 1, qlty 62
12.29. act -1, pred -1, sxs 1, qlty 56
12.30. act -1, pred -1, sxs 1, qlty 70
12.31. act -1, pred -1, sxs 1, qlty 64
13.1. act -1, pred -1, sxs 1, qlty 66
13.2. act -1, pred -1, sxs 1, qlty 70
13.3. act -1, pred 1, sxs 0, qlty 72
13.4. act -1, pred -1, sxs 1, qlty 64
13.5. act -1, pred -1, sxs 1, qlty 68
13.6. act -1, pred -1, sxs 1, qlty 72
13.7. act -1, pred 1, sxs 0, qlty 64
13.8. act -1, pred -1, sxs 1, qlty 68
13.9. act -1, pred -1, sxs 1, qlty 68
13.10. act -1, pred -1, sxs 1, qlty 60
13.11. act -1, pred 1, sxs 0, qlty 66
13.12. act -1, pred -1, sxs 1, qlty 74
13.13. act -1, pred -1, sxs 1, qlty 72
13.14. act -1, pred 1, sxs 0, qlty 70
13.15. act -1, pred -1, sxs 1, qlty 72
13.16. act -1, pred -1, sxs 1, qlty 68
13.17. act -1, pred 1, sxs 0, qlty 64
13.18. act -1, pred -1, sxs 1, qlty 66
13.19. act -1, pred -1, sxs 1, qlty 62
13.20. act -1, pred -1, sxs 1, qlty 62
13.21. act -1, pred -1, sxs 1, qlty 72
13.22. act -1, pred -1, sxs 1, qlty 68
13.23. act -1, pred -1, sxs 1, qlty 62
13.24. act -1, pred 1, sxs 0, qlty 66
13.25. act -1, pred -1, sxs 1, qlty 68
13.26. act -1, pred 1, sxs 0, qlty 56
13.27. act -1, pred -1, sxs 1, qlty 66
13.28. act -1, pred -1, sxs 1, qlty 66
13.29. act -1, pred 1, sxs 0, qlty 58
13.30. act -1, pred -1, sxs 1, qlty 70
13.31. act -1, pred -1, sxs 1, qlty 68
14.1. act 1, pred -1, sxs 0, qlty 62
14.2. act 1, pred 1, sxs 1, qlty 68
14.3. act 1, pred 1, sxs 1, qlty 66
14.4. act 1, pred -1, sxs 0, qlty 70
14.5. act 1, pred -1, sxs 0, qlty 64
14.6. act 1, pred -1, sxs 0, qlty 60
14.7. act 1, pred 1, sxs 1, qlty 62
14.8. act 1, pred 1, sxs 1, qlty 64
14.9. act 1, pred -1, sxs 0, qlty 64
14.10. act 1, pred -1, sxs 0, qlty 64
14.11. act 1, pred -1, sxs 0, qlty 66
14.12. act 1, pred 1, sxs 1, qlty 64
14.13. act 1, pred -1, sxs 0, qlty 64
14.14. act 1, pred 1, sxs 1, qlty 68
14.15. act 1, pred -1, sxs 0, qlty 70
14.16. act 1, pred -1, sxs 0, qlty 64
14.17. act 1, pred -1, sxs 0, qlty 66
14.18. act 1, pred -1, sxs 0, qlty 64
14.19. act 1, pred -1, sxs 0, qlty 66
14.20. act 1, pred -1, sxs 0, qlty 68
14.21. act 1, pred -1, sxs 0, qlty 68
14.22. act 1, pred -1, sxs 0, qlty 68
14.23. act 1, pred -1, sxs 0, qlty 66
14.24. act 1, pred -1, sxs 0, qlty 66
14.25. act 1, pred -1, sxs 0, qlty 68
14.26. act 1, pred -1, sxs 0, qlty 56
14.27. act 1, pred -1, sxs 0, qlty 64
14.28. act 1, pred -1, sxs 0, qlty 70
14.29. act 1, pred -1, sxs 0, qlty 70
14.30. act 1, pred -1, sxs 0, qlty 66
14.31. act 1, pred -1, sxs 0, qlty 70
15.1. act 1, pred -1, sxs 0, qlty 66
15.2. act 1, pred -1, sxs 0, qlty 66
15.3. act 1, pred -1, sxs 0, qlty 66
15.4. act 1, pred -1, sxs 0, qlty 66
15.5. act 1, pred -1, sxs 0, qlty 68
15.6. act 1, pred 1, sxs 1, qlty 72
15.7. act 1, pred -1, sxs 0, qlty 68
15.8. act 1, pred 1, sxs 1, qlty 68
15.9. act 1, pred -1, sxs 0, qlty 64
15.10. act 1, pred 1, sxs 1, qlty 72
